seed_delta,kenpom_rank_delta,adj_efficiency_margin_delta,adj_o_delta,adj_d_delta,tempo_delta,three_pt_pct_delta,efg_pct_delta,turnover_rate_delta,ft_rate_delta,oreb_pct_delta,conference_strength_delta,coach_apps_delta,close_game_wpct_delta,variance_delta,experience_score_delta,draft_prospects_delta,win_pct_delta,last_10_win_pct_delta,seed_a_val,seed_b_val,higher_seed_kenpom,aem_sum,tempo_avg,hist_seed_win_rate,round_num,seed_kenpom_gap_delta,outcome,year,round,region,team_a,team_b
-15,-96,36.80686277859137,16.69052703424839,-20.116335744342976,4.44115886986917,-0.00649095996879534,0.0801857518217407,-0.007207763456435062,-0.08247696726683645,-1.0841925292114603,4.8116341017540405,22,0.37761711273101395,0.7346572611990236,-1.5,2,0.21403857418272265,0.16000019698858237,1,16,4,15.27802906709352,64.39743401191126,0.991,1,-60,1,2025,R64,East,Duke,Mount St Marys
-1,16,-7.039454605628816,-4.145447046126023,2.8940075595027963,-5.493052210174781,0.012398159691992316,0.016015828894076878,-0.0037855137420229057,0.1476315541501153,-4.780653724531227,2.2762312342944524,-1,0.17318567394127615,1.5720997142301698,-0.14941387857069355,-1,0.0619567578688861,0.028363232959940254,8,9,45,13.513873692223928,67.66445423078946,0.512,1,-21,0,2025,R64,East,Mississippi State,Baylor
-7,-80,12.642849779861923,7.022725707561733,-5.620124072300186,-4.24045352330721,0.005551519302409602,0.005543028943740147,0.03745372013569337,0.0015938001565922177,6.97019312759506,2.11758822068427,3,-0.09953501167641265,-0.5686812178069669,-1.4800423407159737,1,0.028952542534046888,0.08054674067730705,5,12,44,20.800015748085297,59.857790376791606,0.649,1,45,1,2025,R64,East,Oregon,Liberty
-9,-34,26.460959566207684,11.89703930588162,-14.563920260326057,8.269075595920079,-0.031426798395481015,0.02399490862599496,-0.0015412022268716241,0.08540342816715074,-2.1109818370345828,4.220158259335587,-1,0.06351532154612316,-1.0083555522229943,-1.5,0,0.18626704259852522,0.11553426893121155,4,13,41,21.910231889102768,64.94219411991018,0.8,1,-22,1,2025,R64,East,Arizona,Akron
-5,-45,11.062918847994045,4.060528364987732,-7.002390483006309,-4.221048774597605,-0.036705269504490434,-0.033703140783301944,0.03468998064190046,-0.14483586023345585,4.893752545592246,1.6804701825155555,4,-0.16264901929196107,-0.06718480785387726,-0.16845118915946866,0,-0.0049077073336778465,0.10025013086306378,6,11,49,27.42552101641201,70.96608605298522,0.627,1,25,1,2025,R64,East,BYU,VCU
-11,-67,14.226705090777934,5.718248910929944,-8.508456179847983,-4.250008355272975,0.04513344231606836,0.006272142892285282,0.013190578728435015,-0.022313348095112318,3.6596315175107037,3.4200515644638227,0,0.25392439100992076,-2.335125363076692,-0.7159275836167804,2,0.10017274662520204,0.22848195031479002,3,14,13,32.21230611379409,64.67212923020718,0.857,1,-15,1,2025,R64,East,Wisconsin,Montana
-3,-4,2.778436019561938,-9.460591377082295,-12.239027396644232,-5.147961914130875,0.05662202259260418,-0.015982599056791114,-0.0626141680344719,-0.06496843364657234,-4.981558512779621,3.1910079159796387,2,0.03935293705865539,3.1207652856380292,-0.40289028718382625,2,0.07194638758446126,0.06936746532240357,7,10,38,13.057826209747919,67.0443667360968,0.608,1,-11,1,2025,R64,East,Saint Marys,Vanderbilt
-13,-115,35.43919313961834,16.33177117268231,-19.10742196693603,-9.994458773849573,-0.04154836171264725,0.0832057115483194,-0.023493291826309992,0.023052178598200912,-4.000347927215429,3.637713428815465,16,0.482991852376792,-2.1097723669293558,-0.76600931037013,2,0.3919861211781685,0.07089741743439248,2,15,16,24.105420702558938,64.00082107805781,0.938,1,-3,1,2025,R64,East,Alabama,Robert Morris
-15,-185,30.06297834729144,7.701925860625437,-22.36105248666601,-0.571389154671806,-0.04562989036802678,0.08261976248025721,-0.040540862441139525,-0.047691736589479505,0.7170410015719462,5.5486412813771935,6,0.2521847246954091,-2.134059078426567,0.72808184694237,2,0.20937054780832154,0.04187894088620403,1,16,4,12.741794953728409,67.40219767268547,0.991,1,29,1,2025,R64,Midwest,Houston,SIU Edwardsville
-1,-24,8.018078347278216,4.344240578284371,-3.6738377689938346,1.7098116920486746,-0.03905433649542045,-0.03251094366702001,-0.011079161433756923,0.08204243996966909,-4.7886819819038955,-3.275371413470808,1,0.08757361304594236,-0.4018763132817096,-0.6943483763274205,-1,-0.09282958245756989,-0.09863886908097463,8,9,24,21.244650251343767,69.57655459710611,0.512,1,19,1,2025,R64,Midwest,Gonzaga,Georgia
